"State","CIP","Education level","Population size","ACS n-size","Coverage level","Median"
"MD","All","High school diploma",129642,4815,"100.0%",30304.35
"FL","All","High school diploma",515297,17376,"100.0%",25931.28
"PA","All","High school diploma",310135,12838,"100.0%",28284.06
"WA","All","High school diploma",172271,6972,"100.0%",31638.18
"NJ","All","High school diploma",175284,6494,"100.0%",29294.205
"NY","All","High school diploma",391194,15688,"100.0%",27419.756
"CA","All","High school diploma",895098,33057,"100.0%",28474.362
"MA","All","High school diploma",131254,4952,"100.0%",31638.18
"MI","All","High school diploma",205724,8431,"100.0%",26263.77
"NC","All","High school diploma",211597,7935,"100.0%",25762.776
"MO","All","High school diploma",144656,6121,"100.0%",27011.75
"TX","All","High school diploma",727340,25931,"100.0%",27746.0588
"MN","All","High school diploma",105898,4455,"100.0%",30943.56
"LA","All","High school diploma",132537,4450,"100.0%",26817.752
"WI","All","High school diploma",126997,5550,"100.0%",30304.35
"AL","All","High school diploma",113798,4259,"100.0%",25786.3
"VA","All","High school diploma",179223,6711,"100.0%",28740.502
"AZ","All","High school diploma",159402,5895,"100.0%",27909.674
"GA","All","High school diploma",248751,9041,"100.0%",26263.77
"CO","All","High school diploma",126806,4730,"100.0%",30943.56
"IL","All","High school diploma",262129,10718,"100.0%",27273.915
"OH","All","High school diploma",287446,11890,"100.0%",26836.225
"DE","All","High school diploma",24506,846,"100.0%",29294.205
"SC","All","High school diploma",120996,4351,"100.0%",25931.28
"CT","All","High school diploma",74338,2722,"100.0%",29423.5074
"HI","All","High school diploma",42878,1713,"100.0%",31314.495
"IA","All","High school diploma",65859,2926,"100.0%",30943.56
"KY","All","High school diploma",107481,4244,"100.0%",26836.225
"UT","All","High school diploma",75084,2891,"100.0%",30304.35
"RI","All","High school diploma",24566,878,"100.0%",30304.35
"NH","All","High school diploma",30808,1239,"100.0%",32414.1
"SD","All","High school diploma",20163,886,"100.0%",30304.35
"IN","All","High school diploma",165093,7098,"100.0%",28880.656
"KS","All","High school diploma",56767,2445,"100.0%",27849.204
"ID","All","High school diploma",43952,1755,"100.0%",27849.204
"MS","All","High school diploma",64934,2348,"100.0%",24651.7028
"NV","All","High school diploma",89794,3238,"100.0%",30056.572
"OK","All","High school diploma",112622,4694,"100.0%",27778.9875
"ME","All","High school diploma",29162,1133,"100.0%",28284.06
"TN","All","High school diploma",179597,7061,"100.0%",25931.28
"WV","All","High school diploma",46676,1871,"100.0%",26314.27725
"OR","All","High school diploma",92160,3650,"100.0%",27265.6046
"AK","All","High school diploma",22604,1034,"100.0%",30943.56
"AR","All","High school diploma",82531,3249,"100.0%",26154.2288
"NM","All","High school diploma",47155,1728,"100.0%",27011.75
"WY","All","High school diploma",17292,666,"100.0%",32181.3024
"ND","All","High school diploma",20301,781,"100.0%",32414.1
"MT","All","High school diploma",25822,958,"100.0%",27642.9136
"NE","All","High school diploma",37655,1585,"100.0%",29712.925
"VT","All","High school diploma",14009,617,"100.0%",28092.22
"DC","All","High school diploma",9848,320,"100.0%",28880.656
"U.S.","All","High school diploma",7497132,287236,"100.0%",27849.204
